players,actions,min,max,mean,median,std,trials
8,2,2.24494768e8,2.76091331e8,2.6175393565e8,2.632545735e8,1.0859288053296724e7,20.0
2,2,2.17188152e8,2.62061334e8,2.5272527115e8,2.534074125e8,9.079218883988211e6,20.0
16,2,2.21831623e8,2.67709677e8,2.516536441e8,2.514522865e8,9.879089240136774e6,20.0
32,2,2.25156909e8,2.82008252e8,2.6618163384210527e8,2.69113084e8,1.2949778762324616e7,19.0
64,2,2.1447339e8,2.6588475e8,2.5381499465e8,2.54288167e8,1.0962041166133625e7,20.0
128,2,2.24075961e8,2.75297772e8,2.622833146e8,2.64357476e8,1.1004049739158912e7,20.0
256,2,3.05044097e8,3.5666222e8,3.404159073333333e8,3.42786395e8,1.3080309692063889e7,15.0
512,2,4.1485438e8,4.57536541e8,4.422120088333333e8,4.43706598e8,1.0000221995694822e7,12.0
1024,2,2.64088353e8,3.08480772e8,3.026945218235294e8,3.05248362e8,1.0244375071311733e7,17.0
2,4,2.62120006e8,3.31715619e8,3.05215157e8,3.10217091e8,1.6372760579673229e7,17.0
4,4,2.61358063e8,2.92395705e8,2.824819792222222e8,2.872973465e8,9.962766519805953e6,18.0
8,4,2.89771022e8,3.15694869e8,3.08939341e8,3.13018852e8,9.38724844447818e6,17.0
16,4,5.79596165e8,6.24893959e8,6.039694457777778e8,6.05615635e8,1.2553558651563328e7,9.0
32,4,2.177373467e9,2.282590902e9,2.2424472726666665e9,2.267377449e9,5.6866619611184254e7,3.0
64,4,1.4590545952e10,1.4590545952e10,1.4590545952e10,1.4590545952e10,NaN,1.0
128,4,2.17987371849e11,2.17987371849e11,2.17987371849e11,2.17987371849e11,NaN,1.0
1024,4,NaN,NaN,NaN,NaN,NaN,0.0
2,6,2.90045371e8,3.5027014e8,3.264263966875e8,3.28391524e8,1.359201561222643e7,16.0
4,6,3.27435308e8,3.66353769e8,3.449237062e8,3.4279136e8,1.1149147677494265e7,15.0
8,6,1.025691531e9,1.066911058e9,1.046324876e9,1.046667142e9,2.0143275200624164e7,5.0
16,6,1.0875174134e10,1.0875174134e10,1.0875174134e10,1.0875174134e10,NaN,1.0
32,6,2.97676107074e11,2.97676107074e11,2.97676107074e11,2.97676107074e11,NaN,1.0
256,4,1.866890908484e12,1.866890908484e12,1.866890908484e12,1.866890908484e12,NaN,1.0
128,6,NaN,NaN,NaN,NaN,NaN,0.0
256,6,NaN,NaN,NaN,NaN,NaN,0.0
512,6,NaN,NaN,NaN,NaN,NaN,0.0
1024,6,NaN,NaN,NaN,NaN,NaN,0.0
2,8,3.48961692e8,3.87782336e8,3.601509289285714e8,3.577338595e8,1.0019451274537608e7,14.0
4,8,4.6552079e8,4.82919849e8,4.7243159709090906e8,4.72960597e8,5.955267206435735e6,11.0
8,8,4.228923034e9,4.277447308e9,4.253185171e9,4.253185171e9,3.4311843197554074e7,2.0
16,8,3.22762060938e11,3.22762060938e11,3.22762060938e11,3.22762060938e11,NaN,1.0
512,4,8.516651853441e12,8.516651853441e12,8.516651853441e12,8.516651853441e12,NaN,1.0
64,8,NaN,NaN,NaN,NaN,NaN,0.0
128,8,NaN,NaN,NaN,NaN,NaN,0.0
256,8,NaN,NaN,NaN,NaN,NaN,0.0
512,8,NaN,NaN,NaN,NaN,NaN,0.0
1024,8,NaN,NaN,NaN,NaN,NaN,0.0
64,6,1.1677147198461e13,1.1677147198461e13,1.1677147198461e13,1.1677147198461e13,NaN,1.0
32,8,2.157825864729e13,2.157825864729e13,2.157825864729e13,2.157825864729e13,NaN,1.0
4,2,2.32857981e8,2.74135248e8,2.5676838075e8,2.54707938e8,1.0495624958854692e7,20.0
