players,strategies,0.99 error,0.999 error,0.9999 error,0.99999 error
2,3,3.4952933361299754e-16,5.107699978987153e-16,6.497692948203755e-16,6.640009972683299e-16
3,3,2.9471973256145116e-16,4.369302250526869e-16,6.300078946892146e-16,6.796692389708462e-16
2,2,1.0753093430840117e-15,1.4337457907786825e-15,1.792182238473353e-15,1.792182238473353e-15
3,2,6.33966068791141e-16,9.310665876326537e-16,1.2215799874778184e-15,1.2215799874778184e-15
5,5,4.254839105265677e-16,6.18885688038644e-16,8.122874655507202e-16,9.401625232946052e-16
34,2,1.776573168067458e-14,2.275195574905518e-14,2.3860005542028645e-14,2.400774551442511e-14
6,6,3.964114214847074e-16,5.488773528249795e-16,7.013432841652515e-16,7.859879889504079e-16
20,4,1.5237156189144732e-15,2.1489109686963437e-15,2.5758049748316094e-15,2.6755720689272e-15
28,4,6.1351625220028575e-15,7.997622573325154e-15,9.118702300813103e-15,9.403733874918591e-15
59,3,1.1970059764172776e-14,1.5384569660426708e-14,1.8276127331543053e-14,1.839792818013551e-14
21,5,1.3337561960924514e-15,1.7672269598224979e-15,2.0791578676704476e-15,2.1756371751282843e-15
114,2,5.4190693669023514e-14,6.251903864150302e-14,6.479595290206621e-14,6.502881913326018e-14
106,2,4.2878493780026436e-14,4.61915830184576e-14,4.701301010236615e-14,4.7690642510195154e-14
74,2,5.701041746114491e-14,6.564835950071231e-14,6.80477878450366e-14,6.823974211258253e-14
58,2,3.048509467964552e-14,3.621383730400844e-14,3.7145894635750027e-14,3.725666751744543e-14
138,2,4.945933563535536e-14,6.009575190102319e-14,6.295428877242141e-14,6.328667678072353e-14
162,2,2.113674871551346e-14,2.8252571327561324e-14,3.0262507555110146e-14,3.042459918636409e-14
91,3,2.3425867116635146e-14,2.7250498482616392e-14,3.024031829426656e-14,3.085746764721077e-14
42,2,4.014229613926474e-15,5.431016536488758e-15,6.21320098332002e-15,6.21320098332002e-15
178,2,7.782936478463172e-14,1.205592121173707e-13,1.2605304963158e-13,1.266634760220477e-13
7,7,4.25693353397006e-16,6.037626141875499e-16,7.924384311211592e-16,1.0565845748282122e-15
107,3,5.422159228273757e-14,6.225388347203109e-14,7.187004901170751e-14,7.216310697021742e-14
130,2,7.269086233977708e-14,8.073512275967194e-14,8.322153052582126e-14,8.395282692762988e-14
66,2,1.3160185787621503e-14,1.6853728496883198e-14,1.8622904416445523e-14,1.8700499851514047e-14
10,10,1.7649852999224603e-15,1.998458832029589e-15,2.191858073838904e-15,2.2993020970663014e-15
194,2,1.033200033979905e-13,1.1805752672531808e-13,1.2298751673517144e-13,1.2345953705526377e-13
18,2,4.642507312110694e-15,6.035259505743902e-15,6.731635602560506e-15,6.96376096816604e-15
2,10,1.6850201024891839e-16,2.283224869055942e-16,3.063672913616698e-16,3.3700402049783678e-16
60,4,2.198113628710031e-14,2.963161665867173e-14,3.313964180466057e-14,3.34008777197874e-14
187,3,2.8625801238721975e-14,4.100171158792484e-14,5.635395062997889e-14,5.691561791200526e-14
154,2,2.636856311536044e-14,3.632488344007074e-14,3.8851113970221114e-14,3.8917159212839424e-14
163,3,4.3433479854707954e-14,5.0030231499307413e-14,5.324103982190007e-14,5.5751308146836146e-14
170,2,4.923516659189435e-14,6.808889559316681e-14,7.26137905534722e-14,7.272152614776518e-14
29,5,4.201757448362234e-15,5.234976493041472e-15,5.763066226988638e-15,6.038591305569768e-15
37,5,3.0112009344177046e-15,4.082671697374874e-15,4.972358725570892e-15,5.301410095805818e-15
76,4,4.125231994575755e-15,6.47277342176129e-15,8.545123417335493e-15,9.222840102158652e-15
13,5,2.309139597789813e-15,2.8275178748446688e-15,3.2141676963024377e-15,3.487272045641758e-15
82,2,3.497486715387069e-14,3.835612319291559e-14,3.937754428804374e-14,3.972975845877758e-14
36,4,2.8015525788523406e-15,4.497284227614117e-15,5.329674753534686e-15,6.490317950402012e-15
52,4,1.249582954601936e-14,1.7652335037475858e-14,2.4309612226410277e-14,3.0550865954384707e-14
90,2,1.0119684748924259e-14,1.2112955987348734e-14,1.3237365403895875e-14,1.35951320364336e-14
115,3,1.3634419069706284e-14,2.164031630350986e-14,3.062275940789647e-14,3.28412913249334e-14
179,3,2.4009696878038833e-14,2.889076460141967e-14,3.374873054594684e-14,3.571736138909174e-14
92,4,2.4641748033857008e-14,3.174674158312149e-14,3.91463580423453e-14,4.019662618494481e-14
45,5,1.068035900999054e-14,1.3156599164500607e-14,1.4606055004657454e-14,1.5024167266241158e-14
16,8,1.5935007831839365e-15,2.1944892084560675e-15,2.632355649851278e-15,3.286595365316869e-15
98,2,2.3478480582392423e-14,2.97835688892627e-14,3.1844375962325355e-14,3.2531311653346244e-14
155,3,1.7940616654943966e-14,2.5287058881854806e-14,3.5214794409456515e-14,3.626961258104943e-14
108,4,2.5450403912135304e-14,3.050872793268195e-14,3.3712622558841343e-14,3.5864492083873765e-14
75,3,2.6413116513072642e-14,3.2533884462950673e-14,3.6788341412466775e-14,3.814630032366521e-14
17,9,2.905439538158487e-15,3.309197950648967e-15,3.5432749514623174e-15,3.889635206101408e-15
116,4,8.771415482549333e-15,1.3241545610144545e-14,1.6208883687496558e-14,1.757393049936969e-14
124,4,3.6960076950326754e-14,4.174125230220265e-14,4.494822261378447e-14,4.647325584481512e-14
131,3,4.0231701900130934e-14,4.771858303083015e-14,5.251100968866783e-14,5.4794097066436e-14
99,3,2.1093993834788503e-14,2.5351695459228394e-14,2.7234701824859488e-14,2.8010057387178175e-14
140,4,3.469508606824308e-14,4.486724483224309e-14,5.202813571543736e-14,5.5014560098473504e-14
171,3,2.43681267253894e-14,3.4387388619301725e-14,4.830892657244464e-14,4.902285159568274e-14
8,8,1.3876638316081346e-15,1.7846947703202106e-15,2.2202621305730155e-15,2.426773983725769e-15
61,5,8.565304064416971e-15,1.3264814937622955e-14,1.6137665169492084e-14,1.8121554543924385e-14
83,3,4.6494903781570714e-14,4.864846820850807e-14,4.9752860222322106e-14,5.002895822577561e-14
51,3,1.2031138179613817e-14,1.426752970545798e-14,1.5324143672740873e-14,1.5743021709567434e-14
14,6,1.6456041166511237e-15,2.056190700751604e-15,2.4089051755381357e-15,2.6005499048976816e-15
10,2,1.9168506308829853e-15,2.3234553101611944e-15,2.526757649800299e-15,2.6138872239313436e-15
4,4,5.067156619962878e-16,7.683213900837375e-16,9.080161882807806e-16,9.908853121857005e-16
122,2,3.8570246360636724e-14,5.289336298620808e-14,5.637734234259848e-14,5.673769790059076e-14
132,4,4.898695805271132e-14,5.5950790324910477e-14,6.368304546852471e-14,6.926882691830389e-14
6,5,5.987575072526946e-16,8.657314237673304e-16,1.1038075653033463e-15,1.1687374220858962e-15
11,2,2.71948445230022e-15,3.14316415310614e-15,3.3762958969216778e-15,3.4339655473349365e-15
50,2,1.504787134669156e-14,1.7049067300168436e-14,1.8220439967173923e-14,1.8301937142745946e-14
26,2,4.189473934216493e-15,5.266481266002366e-15,5.712919001204308e-15,5.903349634577785e-15
19,2,2.21364955718275e-15,2.7670619464784374e-15,3.287292693223378e-15,3.3603436419616752e-15
27,3,2.18736332674656e-15,3.4374886655540016e-15,4.281038769358044e-15,4.726267188148817e-15
131,2,5.003583885523074e-14,5.740954142337e-14,5.969187793255596e-14,6.092082836057918e-14
35,3,1.5068315889301528e-14,1.686751778653156e-14,1.7767118735146578e-14,1.7879568853723454e-14
43,3,5.974340342755325e-15,8.171411347717544e-15,9.502037830226873e-15,1.0047935874333263e-14
75,2,3.1168753219633655e-14,3.5873470686748165e-14,3.734369489522145e-14,3.7990593546949695e-14
12,4,1.2335208556224399e-15,1.6316981325419984e-15,1.9895497671329673e-15,2.148713748503605e-15
171,2,3.2644006008113363e-14,5.327018167804435e-14,5.665546043222527e-14,5.710834181058039e-14
146,2,3.2348839375183404e-14,4.030094070130247e-14,4.338913539105745e-14,4.344703904149036e-14
52,3,1.6397075445335478e-14,2.298091368033061e-14,3.1801053085809614e-14,3.285299631765573e-14
163,2,3.5416321366129356e-14,4.241293233368713e-14,4.4060203094902446e-14,4.5158383602379325e-14
186,2,2.5011580165910526e-14,3.073151310838983e-14,3.433489605422421e-14,3.4447929929901525e-14
29,4,3.2542280467436465e-15,3.961820006033834e-15,4.444799283357175e-15,4.643227822792764e-15
9,8,8.788580694762606e-16,1.1506825968348472e-15,1.3793189145946867e-15,1.666505829898744e-15
37,4,3.517780957055035e-15,5.056351174217108e-15,6.000920456152707e-15,6.657739201961678e-15
9,9,1.531390240350748e-15,1.7699396618501551e-15,1.956962855956182e-15,2.0987717585617023e-15
60,3,2.5150744755681782e-14,2.9319781260513384e-14,3.702141512357075e-14,3.7848196106479284e-14
44,4,1.1773526756933773e-14,1.391814687250907e-14,1.473514501177585e-14,1.5267652727547948e-14
91,2,2.851689574524619e-14,3.24273321679371e-14,3.4154772590696835e-14,3.469282722739959e-14
147,3,1.1947182215439347e-13,1.3051986138758324e-13,1.4169146735241665e-13,1.4697846240287996e-13
139,3,4.192783321136156e-14,5.029540507543157e-14,5.3285760092941086e-14,5.371650565717314e-14
14,5,2.040876309441035e-15,2.7318043643094903e-15,3.182503793788008e-15,3.261439904328677e-15
21,4,1.2017884046666124e-15,1.6913629470754648e-15,2.1953751533039197e-15,2.339718743454393e-15
116,3,1.1396339578177916e-14,2.0004213089354854e-14,2.6914759429313803e-14,3.6250058871012734e-14
19,3,1.5856253502213898e-15,2.4161910098611653e-15,3.133497715913699e-15,3.397768607617264e-15
15,7,2.278990105628925e-15,2.6582372927016566e-15,2.9844899927678744e-15,3.3019889281687123e-15
156,3,2.3082791303245368e-14,3.2332731392017605e-14,4.290215349120432e-14,4.6961540927292296e-14
11,3,2.6624353106149612e-15,3.402000674674673e-15,4.042957323526423e-15,4.1415660387343846e-15
123,3,2.4353571904794005e-14,3.0960719404628945e-14,3.5023911886873125e-14,3.706518282506512e-14
67,3,9.783662929740943e-15,1.397182905306846e-14,1.9313774147467203e-14,2.0285943987104812e-14
195,3,4.363989561620819e-14,5.349251522118912e-14,6.73342442272111e-14,7.233263391666217e-14
22,6,6.085434463854696e-15,7.164874624705113e-15,7.708216987549282e-15,8.026977840417861e-15
68,4,1.8151661815681085e-14,2.2069664379442267e-14,2.7168787655350738e-14,2.8910376607616813e-14
77,4,1.232759707235081e-14,1.512099437048501e-14,1.767829698075889e-14,1.8373181629768922e-14
84,4,4.019644667904141e-15,6.01569552241028e-15,7.047206822027685e-15,7.662982175408744e-15
100,4,5.063250875095311e-14,5.970547015524086e-14,6.463848365332195e-14,6.580261663222013e-14
30,6,5.159938815608207e-15,6.128980294622911e-15,7.023480121405713e-15,7.288517107119137e-15
23,7,1.4367501554033307e-15,1.8209444394919976e-15,2.3128173233321907e-15,2.613771372416884e-15
53,5,1.1178580197753204e-14,1.7800733463666686e-14,1.9962417742238555e-14,2.418338939553771e-14
38,6,2.088673285087561e-15,3.053486102450509e-15,4.000125806591935e-15,4.867241685552529e-15
148,4,1.4753031322257626e-14,2.1514701629088426e-14,2.7328983880973772e-14,2.9227519194233336e-14
156,4,1.5353238436037845e-14,1.970282163675647e-14,2.368318964418202e-14,2.7703361331681823e-14
164,4,4.2822987373643696e-14,5.117212327668115e-14,5.499656617420153e-14,5.5481354710506926e-14
69,5,4.587371290338899e-15,7.118059633110448e-15,9.094252902684229e-15,1.081800018489235e-14
172,4,1.4342179275670325e-14,1.9632309416534936e-14,2.5037725212899213e-14,2.7308401737022495e-14
12,3,1.0707487437371506e-15,1.3675476421927562e-15,1.5594841533777045e-15,1.583476217275823e-15
20,2,1.271430829500889e-15,1.7475802454207258e-15,2.0495099455339236e-15,2.0587931658381153e-15
15,5,1.8311778547360447e-15,2.5843785492757056e-15,3.3910701013630456e-15,3.821420710862013e-15
36,3,2.743441962257923e-15,4.17612832032595e-15,5.608814678393976e-15,6.04091807017532e-15
68,3,2.3213986998382827e-14,2.7977948743009433e-14,3.37240760110947e-14,3.499079416284513e-14
132,2,7.820533521161522e-14,8.469146179810417e-14,8.71289233815618e-14,8.733548792253279e-14
10,9,1.65626924709652e-15,1.885970821511366e-15,2.0654500652551303e-15,2.1277619524743614e-15
164,2,3.3687117812680265e-14,3.9445208318291785e-14,4.253157003785279e-14,4.268212426807527e-14
195,2,4.0022937335118757e-14,4.85002212801854e-14,5.373504178082563e-14,5.3852239254720554e-14
20,3,1.7320988401602706e-15,2.5019205468981687e-15,3.0792868269515923e-15,3.2717422536360668e-15
117,3,4.232868889809464e-14,5.08265318695775e-14,6.446000100339705e-14,6.879865491708724e-14
140,3,4.436454539534373e-14,5.1705441396012114e-14,5.565695503938255e-14,5.809689264181994e-14
38,4,3.1906126351446813e-15,5.268267388712062e-15,6.434130813778435e-15,6.492574611426298e-15
147,2,1.5383735200426417e-13,1.6624359006912419e-13,1.7120608529506818e-13,1.7120608529506818e-13
23,6,3.643459827848458e-15,4.530086965156111e-15,5.015453425708552e-15,5.452283240205748e-15
38,5,2.3425331112002697e-15,3.2837294505218066e-15,3.7647853572861475e-15,4.0270669051567206e-15
78,4,1.4417246159047732e-14,1.8946989040099892e-14,2.1528455413172628e-14,2.4158628698944847e-14
46,5,2.762182237332542e-15,3.956506783945442e-15,4.671819746110241e-15,4.886840738609038e-15
109,4,2.4938799378069428e-14,3.3879242292138954e-14,4.415763876840832e-14,4.578248694819823e-14
