players,actions,batch_size,min,max,mean,median,std,trials
2,3,1,944839.0,1.8475029e7,1.226153683238986e6,1.016024e6,1.4087955446590788e6,4063.0
5,3,1,1.275014e6,1.3108045e7,1.6813771908783785e6,1.38888e6,1.3164164987913538e6,2960.0
6,3,1,1.406583e6,1.9582557e7,1.8642262950205915e6,1.549294e6,1.3812608096816014e6,2671.0
7,3,1,1.564403e6,1.3501029e7,2.125577100811619e6,1.739534e6,1.4064025573118138e6,2341.0
8,3,1,1.740606e6,1.0197413e7,2.3225773295932678e6,1.913764e6,1.3399767080836026e6,2139.0
9,3,1,2.006129e6,1.2205866e7,2.581431523611832e6,2.198654e6,1.4449750783232572e6,1927.0
10,3,1,2.22815e6,1.4506413e7,2.9337283254716983e6,2.447435e6,1.5572136057768618e6,1696.0
11,3,1,2.457354e6,1.172177e7,3.4715167376133986e6,2.843154e6,1.7325066925584187e6,1433.0
12,3,1,2.766289e6,1.2766188e7,3.6618209978005863e6,2.977624e6,1.8671505913081886e6,1364.0
13,3,1,3.380542e6,1.4663441e7,4.551088561643835e6,3.842337e6,2.115965757503278e6,1095.0
15,3,1,3.982803e6,1.4382789e7,5.42057252660152e6,4.570687e6,2.1463739391383226e6,921.0
14,3,1,3.708904e6,1.6012896e7,5.092331503575076e6,4.274215e6,2.1863102351758266e6,979.0
16,3,1,4.421985e6,1.4748261e7,5.852044391559203e6,5.017953e6,2.0631113098323508e6,853.0
18,3,1,5.233432e6,1.5010478e7,6.721687032345014e6,5.793357e6,2.109017814124176e6,742.0
17,3,1,4.784051e6,1.5443978e7,6.164097462962963e6,5.297528e6,2.088555528518862e6,810.0
19,3,1,5.526897e6,1.5849507e7,7.337996988235294e6,6.40742e6,2.0799524105672487e6,680.0
21,3,1,6.559492e6,1.8273287e7,8.183992849180328e6,7.138394e6,2.007889268879974e6,610.0
20,3,1,6.104001e6,1.7091218e7,8.005230283653846e6,7.023251e6,2.1075182148141083e6,624.0
22,3,1,7.879433e6,1.9073793e7,1.0342968186335403e7,9.112799e6,2.545845148515829e6,483.0
23,3,1,7.974964e6,1.8481271e7,9.814503304518664e6,8.551265e6,2.2206173378284904e6,509.0
25,3,1,9.217055e6,1.9527973e7,1.181413358490566e7,1.0633032e7,2.4661233364228155e6,424.0
24,3,1,8.660872e6,1.9332332e7,1.0829176181818182e7,9.4134375e6,2.4715901664579147e6,462.0
26,3,1,9.822112e6,1.8911605e7,1.2521197290726816e7,1.1349294e7,2.2881977311142734e6,399.0
27,3,1,1.0450662e7,1.9425339e7,1.30028044765625e7,1.17022125e7,2.289016147246012e6,384.0
