players,strategies,max_error
2,2,1.2146552742351246e-17
2,3,7.955430946734736e-16
2,4,1.2631581044456482e-16
2,5,5.23358345331617e-16
2,6,3.5462820415096995e-16
2,7,3.2039654438425193e-16
2,8,2.050712617958334e-16
2,9,2.42238096201038e-16
2,10,4.909470212572927e-16
3,2,2.3822518125477794e-16
3,3,2.1219337623892993e-16
3,4,6.320690422635021e-16
3,5,1.1278622327090317e-15
3,6,8.139910869541803e-16
3,7,6.945995510972561e-16
3,8,1.1310098618858081e-15
3,9,8.476784304147883e-16
3,10,8.818339881169081e-16
4,2,8.823975784124312e-17
4,3,3.3492947820737997e-15
4,4,1.3028955347649829e-15
4,5,2.52977505225761e-15
4,6,2.3576749999423652e-15
4,7,6.056691518739938e-16
4,8,1.9811307971227018e-15
4,9,2.9025810520543552e-15
4,10,4.2241521899229025e-15
5,2,5.901748046923376e-16
5,3,1.5635123350849164e-15
5,4,7.747320741435655e-16
5,5,2.024418416641507e-15
5,6,3.639628634419931e-15
5,7,5.269454793990402e-15
5,8,2.3103909187531804e-15
5,9,3.2741777035554157e-15
5,10,2.5104054824459387e-15
6,2,7.281569677137238e-16
6,3,1.6987679542086869e-15
6,4,3.0623092547642288e-15
6,5,1.78559209770777e-15
6,6,2.5413759484729635e-15
6,7,7.599822591641253e-15
6,8,1.0248282952208732e-14
6,9,4.459090377456244e-15
6,10,7.969661963677842e-15
7,2,4.684409055691129e-16
7,3,5.516274745215372e-15
7,4,2.3213449891254103e-15
7,5,4.902583297882193e-15
7,6,3.997174645051309e-15
7,7,4.698540664528616e-15
7,8,2.695145100301207e-15
7,9,1.1079623183491861e-14
7,10,7.000439059576888e-15
8,2,6.654652028870918e-15
8,3,7.991467332820954e-14
8,4,1.6834896287603447e-14
8,5,2.9838010672470266e-14
8,6,1.5256322713321288e-14
8,7,1.357554741650216e-14
8,8,1.7821997182692913e-14
8,9,1.255311662321896e-14
8,10,9.43519060412059e-15
9,2,3.055253678868046e-15
9,3,2.0546250808356124e-14
9,4,3.598275686908481e-15
9,5,4.6858704308474485e-14
9,6,2.3965579342850364e-14
9,7,1.6253283759961133e-14
9,8,2.418293318897322e-14
9,9,3.7398577593647784e-14
9,10,3.786680278609065e-14
10,2,9.33199332942823e-15
10,3,9.595727019360066e-15
10,4,1.227299126871031e-14
10,5,5.755374634721477e-15
10,6,2.041962916506096e-14
10,7,1.3028947117334058e-14
10,8,8.603221240559867e-14
10,9,3.4457264568566694e-14
10,10,3.8230711056630036e-14
11,2,6.063723057364555e-14
11,3,1.3301447079118024e-14
11,4,2.6756418475937435e-14
11,5,3.9364332038574495e-14
11,6,2.8057838099333173e-14
11,7,2.8682867012038704e-14
11,8,8.697078114283423e-14
11,9,1.5033943724006578e-13
11,10,3.671060557161141e-14
12,2,2.6144570326083173e-15
12,3,9.092696602975772e-15
12,4,4.8162844618590794e-14
12,5,3.659377873753772e-14
12,6,1.830268651573508e-14
12,7,2.1940172623280613e-14
12,8,1.9296792288754747e-14
12,9,3.9691852861083305e-14
12,10,3.32637787144042e-14
13,2,3.699600476359329e-14
13,3,1.433207840481234e-14
13,4,3.5563336363087634e-14
13,5,4.4749444740510236e-14
13,6,5.3938196896007097e-14
13,7,2.1123745264041552e-14
13,8,4.5315995459404026e-14
13,9,4.2379175221907584e-14
13,10,4.9406633018490964e-14
14,2,5.845494214002834e-14
14,3,2.511165685156508e-14
14,4,2.58622006496659e-13
14,5,7.443822533350334e-14
14,6,3.4676196400122545e-14
14,7,4.729498990809567e-14
14,8,5.4350851132113674e-14
14,9,4.104247945425097e-14
14,10,3.671729245656886e-14
15,2,1.0516108235355055e-14
15,3,9.354997445317638e-15
15,4,6.757744353453812e-14
15,5,4.671847600863747e-14
15,6,4.207802696980237e-14
15,7,9.160932243016072e-14
15,8,1.0765341253845985e-13
15,9,6.86647455371054e-14
15,10,5.79765500790396e-14
16,2,8.041743188036779e-15
16,3,2.973403748509615e-14
16,4,1.3849478577015643e-14
16,5,4.4871752448863044e-14
16,6,5.3657411915796155e-14
16,7,1.5070029224192685e-13
16,8,1.2139958793324075e-13
16,9,3.708770636550704e-14
16,10,9.085658792218109e-14
17,2,1.654725604261703e-14
17,3,1.6807299419758884e-13
17,4,7.06809083466237e-14
17,5,7.949619983500909e-14
17,6,7.998787109471399e-14
17,7,9.521574981034934e-14
17,8,1.0287353458436172e-13
17,9,1.4237142740472334e-13
17,10,2.161748795378985e-13
18,2,9.470091284836056e-15
18,3,1.1747852196109287e-13
18,4,4.212091903587661e-14
18,5,1.1176349589378912e-13
18,6,1.6245483866308485e-13
18,7,1.2372535131151966e-13
18,8,4.7329829828901937e-14
18,9,1.306408553549641e-13
18,10,9.58300075136413e-14
19,2,5.077441981065167e-14
19,3,6.847773922857091e-14
19,4,1.8374331533921092e-13
19,5,3.135772435099668e-14
19,6,1.1104476304901616e-13
19,7,4.0166751984043703e-13
19,8,1.2338019900201072e-13
19,9,9.86560288035598e-14
19,10,9.952251756376526e-14
20,2,1.169979135520214e-14
20,3,1.4064422086586423e-14
20,4,5.446068054165018e-14
20,5,5.574159085331743e-14
20,6,9.695086022899524e-14
