players,actions,min,max,mean,median,std,trials
2,2,1.82815281e8,1.061156395e9,2.603410013e8,2.169995775e8,1.8925203305689737e8,20.0
4,2,3.66778304e8,1.188924271e9,4.684340688181818e8,3.94604489e8,2.3989742749492136e8,11.0
4,4,5.467657474e9,5.467657474e9,5.467657474e9,5.467657474e9,NaN,1.0
2,4,8.56447289e8,9.48462074e8,8.776941478333334e8,8.625479895e8,3.570155630191722e7,6.0
1024,8,NaN,NaN,NaN,NaN,NaN,0.0
256,6,NaN,NaN,NaN,NaN,NaN,0.0
256,8,NaN,NaN,NaN,NaN,NaN,0.0
64,8,NaN,NaN,NaN,NaN,NaN,0.0
64,6,NaN,NaN,NaN,NaN,NaN,0.0
32,8,NaN,NaN,NaN,NaN,NaN,0.0
512,8,NaN,NaN,NaN,NaN,NaN,0.0
512,2,NaN,NaN,NaN,NaN,NaN,0.0
256,2,NaN,NaN,NaN,NaN,NaN,0.0
256,4,NaN,NaN,NaN,NaN,NaN,0.0
64,4,NaN,NaN,NaN,NaN,NaN,0.0
128,8,NaN,NaN,NaN,NaN,NaN,0.0
512,6,NaN,NaN,NaN,NaN,NaN,0.0
128,2,NaN,NaN,NaN,NaN,NaN,0.0
128,6,NaN,NaN,NaN,NaN,NaN,0.0
1024,6,NaN,NaN,NaN,NaN,NaN,0.0
1024,4,NaN,NaN,NaN,NaN,NaN,0.0
512,4,NaN,NaN,NaN,NaN,NaN,0.0
32,6,NaN,NaN,NaN,NaN,NaN,0.0
128,4,NaN,NaN,NaN,NaN,NaN,0.0
1024,2,NaN,NaN,NaN,NaN,NaN,0.0
8,2,4.658693657e9,4.870067796e9,4.7643807265e9,4.7643807265e9,1.4946408705436787e8,2.0
16,2,9.335389573e9,9.335389573e9,9.335389573e9,9.335389573e9,NaN,1.0
2,6,9.736588127e9,9.736588127e9,9.736588127e9,9.736588127e9,NaN,1.0
2,8,1.8821786952e10,1.8821786952e10,1.8821786952e10,1.8821786952e10,NaN,1.0
32,2,1.8987849862e10,1.8987849862e10,1.8987849862e10,1.8987849862e10,NaN,1.0
64,2,5.4855295069e10,5.4855295069e10,5.4855295069e10,5.4855295069e10,NaN,1.0
4,6,5.9487215496e10,5.9487215496e10,5.9487215496e10,5.9487215496e10,NaN,1.0
8,4,6.8753746281e10,6.8753746281e10,6.8753746281e10,6.8753746281e10,NaN,1.0
4,8,1.45649882452e11,1.45649882452e11,1.45649882452e11,1.45649882452e11,NaN,1.0
16,4,4.18951959215e11,4.18951959215e11,4.18951959215e11,4.18951959215e11,NaN,1.0
8,6,4.78129605579e11,4.78129605579e11,4.78129605579e11,4.78129605579e11,NaN,1.0
8,8,2.59816389368e12,2.59816389368e12,2.59816389368e12,2.59816389368e12,NaN,1.0
32,4,3.344497096617e12,3.344497096617e12,3.344497096617e12,3.344497096617e12,NaN,1.0
16,6,8.51464314762e12,8.51464314762e12,8.51464314762e12,8.51464314762e12,NaN,1.0
