players,actions,batch_size,min,max,mean,median,std,trials
3,3,100,5.086597e6,2.0249916e7,6.06862895382746e6,5.385644e6,2.530532099277954e6,823.0
3,3,1,5.304971e6,7.75893618e8,1.1060720420704845e7,6.0317565e6,4.8317846350490205e7,454.0
2,3,10,2.631361e6,1.293068928e9,7.336112442065491e6,3.477507e6,5.436103062319082e7,794.0
3,3,10,5.183039e6,1.570142817e9,1.2404650394540943e7,6.771205e6,7.811623004426514e7,403.0
2,3,100,2.566788e6,7.09072428e8,3.8644955495356037e6,2.7350615e6,1.9823838397686396e7,1292.0
2,3,1,2.600302e6,2.0821017e7,3.5574297883107625e6,2.81587e6,2.67646975106147e6,1403.0
114,5,10,NaN,NaN,NaN,NaN,NaN,0.0
4,3,1,1.0607486e7,1.568248035e9,7.943434345454545e7,1.5811505e7,2.2646907578869414e8,66.0
87,4,1,NaN,NaN,NaN,NaN,NaN,0.0
11,4,10,4.597097235e9,5.900390015e9,5.248743625e9,5.248743625e9,9.215671626094673e8,2.0
32,3,100,8.775630387e9,8.775630387e9,8.775630387e9,8.775630387e9,NaN,1.0
15,4,100,7.916351247e9,7.916351247e9,7.916351247e9,7.916351247e9,NaN,1.0
111,4,10,NaN,NaN,NaN,NaN,NaN,0.0
58,5,100,NaN,NaN,NaN,NaN,NaN,0.0
40,5,1,NaN,NaN,NaN,NaN,NaN,0.0
62,3,100,NaN,NaN,NaN,NaN,NaN,0.0
68,3,10,NaN,NaN,NaN,NaN,NaN,0.0
22,3,100,5.861729294e9,5.861729294e9,5.861729294e9,5.861729294e9,NaN,1.0
38,3,10,1.8443281418e10,1.8443281418e10,1.8443281418e10,1.8443281418e10,NaN,1.0
3,6,1,8.0889542e7,1.8087545e9,5.47765707e8,5.2875658e8,6.118815697981637e8,11.0
7,6,10,8.030230897e9,8.030230897e9,8.030230897e9,8.030230897e9,NaN,1.0
12,4,10,6.546014254e9,6.546014254e9,6.546014254e9,6.546014254e9,NaN,1.0
33,3,100,7.180991906e9,7.180991906e9,7.180991906e9,7.180991906e9,NaN,1.0
21,4,10,2.9719010426e10,2.9719010426e10,2.9719010426e10,2.9719010426e10,NaN,1.0
25,4,100,7.7389923727e10,7.7389923727e10,7.7389923727e10,7.7389923727e10,NaN,1.0
11,6,100,8.6651152592e10,8.6651152592e10,8.6651152592e10,8.6651152592e10,NaN,1.0
125,4,100,NaN,NaN,NaN,NaN,NaN,0.0
59,5,100,NaN,NaN,NaN,NaN,NaN,0.0
97,4,1,NaN,NaN,NaN,NaN,NaN,0.0
55,4,100,NaN,NaN,NaN,NaN,NaN,0.0
23,3,100,6.369555863e9,6.369555863e9,6.369555863e9,6.369555863e9,NaN,1.0
34,3,100,1.44952052e10,1.44952052e10,1.44952052e10,1.44952052e10,NaN,1.0
34,3,1,1.264067499e10,1.264067499e10,1.264067499e10,1.264067499e10,NaN,1.0
10,5,1,1.3537068e10,1.3537068e10,1.3537068e10,1.3537068e10,NaN,1.0
16,4,100,1.1918621024e10,1.1918621024e10,1.1918621024e10,1.1918621024e10,NaN,1.0
47,4,1,NaN,NaN,NaN,NaN,NaN,0.0
37,6,10,NaN,NaN,NaN,NaN,NaN,0.0
91,4,10,NaN,NaN,NaN,NaN,NaN,0.0
21,6,100,NaN,NaN,NaN,NaN,NaN,0.0
115,4,100,NaN,NaN,NaN,NaN,NaN,0.0
52,3,100,NaN,NaN,NaN,NaN,NaN,0.0
54,5,10,NaN,NaN,NaN,NaN,NaN,0.0
63,6,1,NaN,NaN,NaN,NaN,NaN,0.0
48,5,100,NaN,NaN,NaN,NaN,NaN,0.0
38,5,100,NaN,NaN,NaN,NaN,NaN,0.0
74,5,10,NaN,NaN,NaN,NaN,NaN,0.0
39,5,100,NaN,NaN,NaN,NaN,NaN,0.0
40,5,100,NaN,NaN,NaN,NaN,NaN,0.0
41,5,100,NaN,NaN,NaN,NaN,NaN,0.0
42,5,100,NaN,NaN,NaN,NaN,NaN,0.0
43,5,100,NaN,NaN,NaN,NaN,NaN,0.0
44,5,100,NaN,NaN,NaN,NaN,NaN,0.0
45,5,100,NaN,NaN,NaN,NaN,NaN,0.0
46,5,100,NaN,NaN,NaN,NaN,NaN,0.0
47,5,100,NaN,NaN,NaN,NaN,NaN,0.0
64,6,1,NaN,NaN,NaN,NaN,NaN,0.0
65,6,1,NaN,NaN,NaN,NaN,NaN,0.0
66,6,1,NaN,NaN,NaN,NaN,NaN,0.0
67,6,1,NaN,NaN,NaN,NaN,NaN,0.0
68,6,1,NaN,NaN,NaN,NaN,NaN,0.0
69,6,1,NaN,NaN,NaN,NaN,NaN,0.0
70,6,1,NaN,NaN,NaN,NaN,NaN,0.0
71,6,1,NaN,NaN,NaN,NaN,NaN,0.0
72,6,1,NaN,NaN,NaN,NaN,NaN,0.0
5,3,1,2.0230289e7,1.912531059e9,2.1147628983333334e8,3.60470385e7,4.3005044370167214e8,24.0
8,3,10,7.500283e7,1.957495352e9,5.69814605e8,6.70594831e8,5.961537419644674e8,11.0
41,4,10,NaN,NaN,NaN,NaN,NaN,0.0
101,6,100,NaN,NaN,NaN,NaN,NaN,0.0
65,4,100,NaN,NaN,NaN,NaN,NaN,0.0
14,3,1,1.160958545e9,2.067900778e9,1.4283711125e9,1.2423125635e9,4.314759806075734e8,4.0
44,3,1,2.7138980382e10,2.7138980382e10,2.7138980382e10,2.7138980382e10,NaN,1.0
4,6,1,7.89575487e8,1.708377671e9,1.2087195252e9,1.146815899e9,3.316138577041266e8,5.0
15,3,1,8.7624011e8,2.33710334e9,1.284583279e9,9.62494833e8,7.028595016086661e8,4.0
97,6,10,NaN,NaN,NaN,NaN,NaN,0.0
105,4,100,NaN,NaN,NaN,NaN,NaN,0.0
101,4,10,NaN,NaN,NaN,NaN,NaN,0.0
49,5,100,NaN,NaN,NaN,NaN,NaN,0.0
117,6,10,NaN,NaN,NaN,NaN,NaN,0.0
18,5,100,1.94825122028e11,1.94825122028e11,1.94825122028e11,1.94825122028e11,NaN,1.0
31,4,10,1.79471914858e11,1.79471914858e11,1.79471914858e11,1.79471914858e11,NaN,1.0
51,4,10,NaN,NaN,NaN,NaN,NaN,0.0
121,6,100,NaN,NaN,NaN,NaN,NaN,0.0
111,6,100,NaN,NaN,NaN,NaN,NaN,0.0
58,3,10,NaN,NaN,NaN,NaN,NaN,0.0
35,3,100,1.0384932995e10,1.0384932995e10,1.0384932995e10,1.0384932995e10,NaN,1.0
5,4,100,7.2430941e7,6.72030031e8,3.719477206e8,5.76530216e8,2.803770911057184e8,15.0
63,3,100,NaN,NaN,NaN,NaN,NaN,0.0
13,6,1,2.11698111872e11,2.11698111872e11,2.11698111872e11,2.11698111872e11,NaN,1.0
18,3,10,5.14083024e9,5.14083024e9,5.14083024e9,5.14083024e9,NaN,1.0
45,3,1,NaN,NaN,NaN,NaN,NaN,0.0
98,4,1,NaN,NaN,NaN,NaN,NaN,0.0
4,5,10,1.1825895e8,2.186290618e9,7.544446107142857e8,8.78312893e8,7.444860013568432e8,7.0
8,5,100,5.939293897e9,5.939293897e9,5.939293897e9,5.939293897e9,NaN,1.0
13,4,10,1.0331860206e10,1.0331860206e10,1.0331860206e10,1.0331860206e10,NaN,1.0
11,5,1,2.1744472097e10,2.1744472097e10,2.1744472097e10,2.1744472097e10,NaN,1.0
24,3,1,2.737166468e9,2.754042447e9,2.7456044575e9,2.7456044575e9,1.193311919006177e7,2.0
42,4,10,NaN,NaN,NaN,NaN,NaN,0.0
78,3,10,NaN,NaN,NaN,NaN,NaN,0.0
118,5,100,NaN,NaN,NaN,NaN,NaN,0.0
104,5,10,NaN,NaN,NaN,NaN,NaN,0.0
17,4,100,1.7549230019e10,1.7549230019e10,1.7549230019e10,1.7549230019e10,NaN,1.0
36,3,100,9.543880232e9,9.543880232e9,9.543880232e9,9.543880232e9,NaN,1.0
69,3,10,NaN,NaN,NaN,NaN,NaN,0.0
50,5,1,NaN,NaN,NaN,NaN,NaN,0.0
51,6,100,NaN,NaN,NaN,NaN,NaN,0.0
39,3,10,1.4855839411e10,1.4855839411e10,1.4855839411e10,1.4855839411e10,NaN,1.0
5,5,10,2.09317761e8,3.742310198e9,1.0174226975e9,2.14378537e8,1.4324081871926577e9,6.0
52,6,100,NaN,NaN,NaN,NaN,NaN,0.0
43,4,10,NaN,NaN,NaN,NaN,NaN,0.0
31,6,100,NaN,NaN,NaN,NaN,NaN,0.0
67,4,1,NaN,NaN,NaN,NaN,NaN,0.0
16,3,1,3.28743299e8,8.7722693e9,2.84248825125e9,1.134470203e9,4.022079288225559e9,4.0
14,4,10,7.338277647e9,7.338277647e9,7.338277647e9,7.338277647e9,NaN,1.0
24,3,100,9.59585553e9,9.59585553e9,9.59585553e9,9.59585553e9,NaN,1.0
77,6,10,NaN,NaN,NaN,NaN,NaN,0.0
126,4,100,NaN,NaN,NaN,NaN,NaN,0.0
103,6,1,NaN,NaN,NaN,NaN,NaN,0.0
22,4,10,8.1335394615e10,8.1335394615e10,8.1335394615e10,8.1335394615e10,NaN,1.0
40,3,10,2.0207425972e10,2.0207425972e10,2.0207425972e10,2.0207425972e10,NaN,1.0
128,5,100,NaN,NaN,NaN,NaN,NaN,0.0
19,3,10,5.53040214e8,4.353949456e9,2.693287789e9,3.172873697e9,1.945309679419807e9,3.0
57,4,1,NaN,NaN,NaN,NaN,NaN,0.0
127,4,100,NaN,NaN,NaN,NaN,NaN,0.0
128,4,100,NaN,NaN,NaN,NaN,NaN,0.0
2,5,100,1.1496772e7,3.69391076e9,7.044463159154929e7,1.8989983e7,4.361720690762219e8,71.0
3,5,100,3.6688057e7,4.476708041e9,2.978215592222222e8,5.28856505e7,1.0429198351389862e9,18.0
14,5,10,1.57148906795e11,1.57148906795e11,1.57148906795e11,1.57148906795e11,NaN,1.0
4,5,100,1.023667e8,8.473198515e9,2.8977141396666665e9,1.17577204e8,4.828517096847394e9,3.0
15,4,10,3.4194126424e10,3.4194126424e10,3.4194126424e10,3.4194126424e10,NaN,1.0
37,3,100,1.6798123642e10,1.6798123642e10,1.6798123642e10,1.6798123642e10,NaN,1.0
42,3,100,3.9605207311e10,3.9605207311e10,3.9605207311e10,3.9605207311e10,NaN,1.0
27,4,1,2.61290897667e11,2.61290897667e11,2.61290897667e11,2.61290897667e11,NaN,1.0
12,6,100,2.20357913995e11,2.20357913995e11,2.20357913995e11,2.20357913995e11,NaN,1.0
26,4,100,1.28397051452e11,1.28397051452e11,1.28397051452e11,1.28397051452e11,NaN,1.0
15,5,10,8.5786097725e10,8.5786097725e10,8.5786097725e10,8.5786097725e10,NaN,1.0
48,4,1,NaN,NaN,NaN,NaN,NaN,0.0
34,5,10,NaN,NaN,NaN,NaN,NaN,0.0
32,6,100,NaN,NaN,NaN,NaN,NaN,0.0
59,3,10,NaN,NaN,NaN,NaN,NaN,0.0
44,5,10,NaN,NaN,NaN,NaN,NaN,0.0
119,5,100,NaN,NaN,NaN,NaN,NaN,0.0
6,3,1,2.9325932e7,8.965699326e9,5.277832091666667e8,3.1520381e7,2.1058263338882232e9,18.0
64,3,1,NaN,NaN,NaN,NaN,NaN,0.0
85,4,100,NaN,NaN,NaN,NaN,NaN,0.0
105,5,10,NaN,NaN,NaN,NaN,NaN,0.0
53,6,100,NaN,NaN,NaN,NaN,NaN,0.0
51,5,1,NaN,NaN,NaN,NaN,NaN,0.0
115,5,10,NaN,NaN,NaN,NaN,NaN,0.0
45,4,100,NaN,NaN,NaN,NaN,NaN,0.0
88,5,100,NaN,NaN,NaN,NaN,NaN,0.0
71,4,10,NaN,NaN,NaN,NaN,NaN,0.0
75,4,100,NaN,NaN,NaN,NaN,NaN,0.0
80,5,1,NaN,NaN,NaN,NaN,NaN,0.0
64,5,10,NaN,NaN,NaN,NaN,NaN,0.0
48,3,10,NaN,NaN,NaN,NaN,NaN,0.0
64,3,100,NaN,NaN,NaN,NaN,NaN,0.0
88,4,1,NaN,NaN,NaN,NaN,NaN,0.0
84,5,10,NaN,NaN,NaN,NaN,NaN,0.0
83,6,1,NaN,NaN,NaN,NaN,NaN,0.0
25,3,1,1.1821204598e10,1.1821204598e10,1.1821204598e10,1.1821204598e10,NaN,1.0
9,3,10,7.3923144e7,1.2218375138e10,1.0685071926666666e9,7.7519423e7,3.1630264498779488e9,15.0
17,3,1,3.42526538e8,3.854428131e9,1.773965404e9,1.4494534735e9,1.7260298059254215e9,4.0
33,6,1,NaN,NaN,NaN,NaN,NaN,0.0
