players,actions,size
2,4,1136
3,4,2096
4,4,3536
5,4,5552
6,4,8240
7,4,11696
8,4,16016
9,4,21296
10,4,27632
11,4,35120
12,4,43856
13,4,53936
14,4,65456
15,4,78512
16,4,93200
2,5,1976
3,5,4376
4,5,8576
5,5,15296
6,5,25376
7,5,39776
8,5,59576
9,5,85976
10,5,120296
11,5,163976
12,5,218576
13,5,285776
14,5,367376
15,5,465296
16,5,581576
2,6,3200
3,6,8240
4,6,18320
5,6,36464
6,6,66704
7,6,114224
8,6,185504
9,6,288464
10,6,432608
11,6,629168
12,6,891248
13,6,1233968
14,6,1674608
15,6,2232752
16,6,2930432
